[PATRIOT • Жирик]: -695.1956176757812, 83.93406677246094, 55.835205078125 || 0, 0, 0
[PATRIOT • Жирик]: -691.3054809570312, 98.33406829833984, 55.835205078125 || 0, 0, -0.346317321062088
[PATRIOT • dev spawn]: 3349.81982421875, 5151.73193359375, 19.5911865234375 || 0, 0, 1.9294822216033936
[PATRIOT • cam auth]: 3313.331787109375, 5169.6396484375, 26.6007080078125 || 0, 0, -1.3357954025268555
[PATRIOT • cam pos 2]: 3430.0615234375, 5175.1650390625, 29.7347412109375 || 0, 0, -2.4242210388183594
[PATRIOT • camauth2]: 3567.270263671875, 5063.03759765625, 24.090087890625 || 0, 0, -1.9294822216033936
[PATRIOT • pers 2 cam]: 1911.2967529296875, 2464.813232421875, 54.807373046875 || 0, 0, -0.5936868190765381
-- [PATRIOT • 1 cam: PERS]: 3335.050537109375, 5162.82177734375, 18.2938232421875 || 0, 0, 2.5231688022613525
 [JSON]: "x": 3335.050537109375, "y": 5162.82177734375, "z": 18.2938232421875, "rot": 144.56692336865447

-- [PATRIOT • CAM 2: PERS]: 1752.09228515625, 1914.2769775390625, 73.0556640625 || 0, 0, -11.338582743952959
 [JSON]: { "x": 1752.09228515625, "y": 1914.2769775390625, "z": 73.0556640625, "rot": -11.338582743952959 }

-- [PATRIOT • CAM 2: from]: 1731.75830078125, 1721.3143310546875, 106.5699462890625 || 0, 0, -8.50393727140813
 [JSON]: { "x": 1731.75830078125, "y": 1721.3143310546875, "z": 106.5699462890625, "rot": -8.50393727140813 }

-- [PATRIOT • CAM 2: to]: 1876.4439697265625, 2397.283447265625, 65.153076171875 || 0, 0, -31.181104466861342
 [JSON]: { "x": 1876.4439697265625, "y": 2397.283447265625, "z": 65.153076171875, "rot": -31.181104466861342 }

-- [PATRIOT • CAM 3: PERS]: 2532.03955078125, 476.29449462890625, 113.748046875 || 0, 0, -175.74803466570498
 [JSON]: { "x": 2532.03955078125, "y": 476.29449462890625, "z": 113.748046875, "rot": -175.74803466570498 }

-- [PATRIOT • CAM 3: from]: 2529.032958984375, 563.6967163085938, 115.4498291015625 || 0, 0, 175.74803466570498
 [JSON]: { "x": 2529.032958984375, "y": 563.6967163085938, "z": 115.4498291015625, "rot": 175.74803466570498 }

-- [PATRIOT • CAM 3: to]: 2517.006591796875, 181.59561157226562, 107.867431640625 || 0, 0, 170.07874542816262
 [JSON]: { "x": 2517.006591796875, "y": 181.59561157226562, "z": 107.867431640625, "rot": 170.07874542816262 }

--! [PATRIOT • CAM 4: PERS]: 226.21978759765625, 3029.472412109375, 42.3385009765625 || 0, 0, 0
 [JSON]: { "x": 226.21978759765625, "y": 3029.472412109375, "z": 42.3385009765625, "rot": 0 }

-- [PATRIOT • CAM 4: from]: 227.5252685546875, 2956.02197265625, 47.24169921875 || 0, 0, 5.669291371976479
 [JSON]: { "x": 227.5252685546875, "y": 2956.02197265625, "z": 47.24169921875, "rot": 5.669291371976479 }

-- [PATRIOT • CAM 4: to]: 221.7098846435547, 3261.57373046875, 47.056396484375 || 0, 0, -14.173229070271432
 [JSON]: { "x": 221.7098846435547, "y": 3261.57373046875, "z": 47.056396484375, "rot": -14.173229070271432 }

-- [PATRIOT • CAM 5: PERS]: 117.32307434082031, 3786.883544921875, 31.942138671875 || 0, 0, 22.677165487905917
 [JSON]: { "x": 117.32307434082031, "y": 3786.883544921875, "z": 31.942138671875, "rot": 22.677165487905917 }

-- [PATRIOT • CAM 5: from]: 159.1648406982422, 3707.98681640625, 41.2938232421875 || 0, 0, 22.677165487905917
 [JSON]: { "x": 159.1648406982422, "y": 3707.98681640625, "z": 41.2938232421875, "rot": 22.677165487905917 }

-- [PATRIOT • CAM 5: to]: 34.78681564331055, 4056.2900390625, 50.15673828125 || 0, 0, 19.842520869134734
 [JSON]: { "x": 34.78681564331055, "y": 4056.2900390625, "z": 50.15673828125, "rot": 19.842520869134734 }

-- [PATRIOT • CAM 6: PERS]: 1989.7318115234375, 3849.91650390625, 32.3634033203125 || 0, 0, -155.90551550411755
 [JSON]: { "x": 1989.7318115234375, "y": 3849.91650390625, "z": 32.3634033203125, "rot": -155.90551550411755 }

-- [PATRIOT • CAM 6: from]: 1948.4307861328125, 3916.800048828125, 38.833740234375 || 0, 0, -155.90551550411755
 [JSON]: { "x": 1948.4307861328125, "y": 3916.800048828125, "z": 38.833740234375, "rot": -155.90551550411755 }

-- [PATRIOT • CAM 6: to]: 2037.82421875, 3759.428466796875, 40.2490234375 || 0, 0, -147.40158847799316
 [JSON]: { "x": 2037.82421875, "y": 3759.428466796875, "z": 40.2490234375, "rot": -147.40158847799316 }

-- [PATRIOT • CAM 7: PERS]: -1235.6966552734375, 4361.38037109375, 8.015380859375 || 0, 0, -79.37008347653894
 [JSON]: { "x": -1235.6966552734375, "y": 4361.38037109375, "z": 8.015380859375, "rot": -79.37008347653894 }

-- [PATRIOT • CAM 7: from]: -1421.7626953125, 4306.1669921875, 34.4359130859375 || 0, 0, -73.70079423899658
 [JSON]: { "x": -1421.7626953125, "y": 4306.1669921875, "z": 34.4359130859375, "rot": -73.70079423899658 }

